customer_full_name,total_amount,amount_section
Jenny Castro,79.80,Silver Customer
Roberta Harper,79.80,Silver Customer
Edna West,79.81,Silver Customer
David Royal,79.81,Silver Customer
Roland South,80.77,Silver Customer
Keith Rico,80.77,Silver Customer
Kristina Chambers,80.78,Silver Customer
Becky Miles,80.78,Silver Customer
Vivian Ruiz,80.80,Silver Customer
Steven Curley,80.81,Silver Customer
Eileen Carr,80.82,Silver Customer
Oscar Aquino,80.83,Silver Customer
Paul Trout,80.85,Silver Customer
Megan Palmer,81.75,Silver Customer
Jessie Banks,81.76,Silver Customer
Cory Meehan,81.76,Silver Customer
Barbara Jones,81.78,Silver Customer
Christian Jung,81.78,Silver Customer
Mark Rinehart,81.80,Silver Customer
Lorraine Stephens,81.80,Silver Customer
Jason Morrissey,81.81,Silver Customer
Thomas Grigsby,81.81,Silver Customer
Yvonne Watkins,81.81,Silver Customer
Jared Ely,81.83,Silver Customer
Vernon Chapa,81.83,Silver Customer
Gene Sanborn,82.76,Silver Customer
Bob Pfeiffer,82.78,Silver Customer
Tyler Wren,82.81,Silver Customer
Patrick Newsom,83.77,Silver Customer
Wade Delvalle,83.78,Silver Customer
Bernard Colby,83.79,Silver Customer
Leslie Gordon,83.80,Silver Customer
Corey Hauser,83.81,Silver Customer
Eva Ramos,83.82,Silver Customer
Jennifer Davis,84.75,Silver Customer
James Gannon,84.79,Silver Customer
Mathew Bolin,84.80,Silver Customer
Bonnie Hughes,84.80,Silver Customer
Doris Reed,84.81,Silver Customer
Julio Noland,84.81,Silver Customer
Lonnie Tirado,84.84,Silver Customer
Jay Robb,85.75,Silver Customer
Jane Bennett,85.77,Silver Customer
Kimberly Lee,85.77,Silver Customer
Susan Wilson,85.77,Silver Customer
Jon Wiles,85.78,Silver Customer
Willie Markham,85.78,Silver Customer
Victor Barkley,85.78,Silver Customer
Randall Neumann,85.80,Silver Customer
Alfredo Mcadams,85.80,Silver Customer
Wendy Harrison,86.73,Silver Customer
Allison Stanley,86.75,Silver Customer
Ian Still,86.75,Silver Customer
Lucy Wheeler,86.75,Silver Customer
Chad Carbone,86.76,Silver Customer
Constance Reid,86.77,Silver Customer
Peggy Myers,86.77,Silver Customer
Agnes Bishop,86.79,Silver Customer
Kelly Torres,86.80,Silver Customer
Erica Matthews,86.80,Silver Customer
Vanessa Sims,86.81,Silver Customer
Ruben Geary,86.81,Silver Customer
Nellie Garrett,86.81,Silver Customer
Lewis Lyman,86.81,Silver Customer
Raul Fortier,86.82,Silver Customer
Freddie Duggan,87.77,Silver Customer
Jack Foust,87.77,Silver Customer
Charlotte Hunter,87.78,Silver Customer
Maureen Little,87.79,Silver Customer
Loretta Carpenter,87.79,Silver Customer
Harvey Guajardo,87.80,Silver Customer
Derrick Bourque,87.80,Silver Customer
Kurt Emmons,87.80,Silver Customer
Richard Mccrary,87.80,Silver Customer
Tara Ryan,87.81,Silver Customer
Donna Thompson,87.82,Silver Customer
Theresa Watson,88.73,Silver Customer
Pauline Henry,88.75,Silver Customer
Heather Morris,88.76,Silver Customer
Georgia Jacobs,88.77,Silver Customer
Glenn Pullen,88.78,Silver Customer
Mildred Bailey,88.78,Silver Customer
Aaron Selby,88.80,Silver Customer
Anna Hill,88.80,Silver Customer
Dora Medina,88.81,Silver Customer
Stella Moreno,88.81,Silver Customer
Lawrence Lawton,89.71,Silver Customer
Darrell Power,89.76,Silver Customer
Rebecca Scott,89.76,Silver Customer
Bertha Ferguson,89.77,Silver Customer
Lillie Kim,89.77,Silver Customer
Edgar Rhoads,89.77,Silver Customer
Jackie Lynch,89.77,Silver Customer
Judy Gray,89.77,Silver Customer
Beverly Brooks,89.78,Silver Customer
Andrew Purdy,89.78,Silver Customer
Benjamin Varney,89.78,Silver Customer
Christine Roberts,89.78,Silver Customer
Hugh Waldrop,89.80,Silver Customer
Derek Blakely,90.73,Silver Customer
Kathleen Adams,90.75,Silver Customer
Emily Diaz,90.77,Silver Customer
Natalie Meyer,90.78,Silver Customer
Deanna Byrd,90.78,Silver Customer
Judith Cox,91.70,Silver Customer
Matthew Mahan,91.75,Silver Customer
Ivan Cromwell,91.75,Silver Customer
Sean Douglass,91.77,Silver Customer
Travis Estep,91.78,Silver Customer
Vicki Fields,91.78,Silver Customer
Pamela Baker,91.79,Silver Customer
Wilma Richards,91.80,Silver Customer
Rafael Abney,91.81,Silver Customer
Ricardo Meador,91.81,Silver Customer
Melanie Armstrong,92.75,Silver Customer
Dustin Gillette,92.75,Silver Customer
Carole Barnett,92.75,Silver Customer
Elmer Noe,92.76,Silver Customer
Renee Lane,92.76,Silver Customer
Chester Benner,92.78,Silver Customer
Joel Francisco,92.78,Silver Customer
Andrea Henderson,92.79,Silver Customer
Bruce Schwarz,92.79,Silver Customer
Joseph Joy,92.80,Silver Customer
Cody Nolen,92.80,Silver Customer
Frances Parker,92.81,Silver Customer
Nancy Thomas,93.74,Silver Customer
Howard Fortner,93.74,Silver Customer
Martin Bales,93.75,Silver Customer
Tamara Nguyen,93.75,Silver Customer
Phillip Holm,93.76,Silver Customer
Joshua Mark,93.78,Silver Customer
Dawn Sullivan,93.78,Silver Customer
Francisco Skidmore,93.79,Silver Customer
Ronald Weiner,93.79,Silver Customer
Claude Herzog,93.80,Silver Customer
Edwin Burk,93.80,Silver Customer
Kevin Schuler,93.83,Silver Customer
Carmen Owens,94.75,Silver Customer
Dorothy Taylor,94.76,Silver Customer
Suzanne Nichols,94.76,Silver Customer
Geraldine Perkins,94.76,Silver Customer
Kelly Knott,94.76,Silver Customer
Brandy Graves,94.77,Silver Customer
Nicole Peterson,94.78,Silver Customer
Danielle Daniels,94.78,Silver Customer
Laura Rodriguez,94.81,Silver Customer
Esther Crawford,95.72,Silver Customer
Beth Franklin,95.76,Silver Customer
Walter Perryman,95.76,Silver Customer
Ronnie Ricketts,95.76,Silver Customer
Gary Coy,95.78,Silver Customer
Darren Windham,95.78,Silver Customer
Stacy Cunningham,95.78,Silver Customer
Shane Millard,95.78,Silver Customer
Willard Lumpkin,95.79,Silver Customer
Connie Wallace,95.79,Silver Customer
Dwayne Olvera,95.80,Silver Customer
Denise Kelly,96.74,Silver Customer
Reginald Kinder,96.75,Silver Customer
Melvin Ellington,96.75,Silver Customer
Velma Lucas,96.76,Silver Customer
Micheal Forman,96.76,Silver Customer
Edward Baugh,96.76,Silver Customer
Vincent Ralston,96.77,Silver Customer
Betty White,96.77,Silver Customer
Louise Jenkins,96.78,Silver Customer
Albert Crouse,96.78,Silver Customer
Carlos Coughlin,96.79,Silver Customer
Cassandra Walters,96.79,Silver Customer
Nina Soto,96.79,Silver Customer
Virgil Wofford,97.75,Silver Customer
Mabel Holland,97.75,Silver Customer
Shannon Freeman,97.77,Silver Customer
Laurie Lawrence,97.78,Silver Customer
Rodney Moeller,97.78,Silver Customer
Wallace Slone,97.78,Silver Customer
Pedro Chestnut,97.78,Silver Customer
Leon Bostic,97.79,Silver Customer
Rose Howard,97.80,Silver Customer
Adam Gooch,97.80,Silver Customer
Ross Grey,98.74,Silver Customer
Francis Sikes,98.75,Silver Customer
Gwendolyn May,98.75,Silver Customer
Jeremy Hurtado,98.75,Silver Customer
Clinton Buford,98.76,Silver Customer
Annette Olson,98.76,Silver Customer
Frank Waggoner,98.77,Silver Customer
Ruth Martinez,98.82,Silver Customer
Bobby Boudreau,99.68,Silver Customer
Tom Milner,99.71,Silver Customer
Angel Barclay,99.72,Silver Customer
Ken Prewitt,99.73,Silver Customer
Sherri Rhodes,99.74,Silver Customer
Evelyn Morgan,99.74,Silver Customer
Lisa Anderson,99.77,Silver Customer
Ron Deluca,99.78,Silver Customer
Juanita Mason,100.72,Gold Customer
Vickie Brewer,100.75,Gold Customer
Willie Howell,100.75,Gold Customer
Brad Mccurdy,100.76,Gold Customer
Sidney Burleson,100.76,Gold Customer
Glen Talbert,100.77,Gold Customer
Leonard Schofield,101.70,Gold Customer
Rene Mcalister,101.76,Gold Customer
Robin Hayes,101.77,Gold Customer
Leo Ebert,101.78,Gold Customer
Marie Turner,101.79,Gold Customer
Ellen Simpson,102.75,Gold Customer
Yolanda Weaver,102.75,Gold Customer
Lillian Griffin,102.76,Gold Customer
Sergio Stanfield,102.76,Gold Customer
Ben Easter,102.77,Gold Customer
Max Pitt,102.77,Gold Customer
Misty Lambert,102.78,Gold Customer
Sharon Robinson,103.73,Gold Customer
Manuel Murrell,103.73,Gold Customer
Courtney Day,103.74,Gold Customer
Carla Gutierrez,103.74,Gold Customer
Kristin Johnston,103.74,Gold Customer
Tracey Barrett,103.77,Gold Customer
Ramona Hale,103.77,Gold Customer
Peter Menard,103.78,Gold Customer
Leroy Bustamante,104.71,Gold Customer
Jimmy Schrader,104.72,Gold Customer
Deborah Walker,104.73,Gold Customer
Brenda Wright,104.74,Gold Customer
Dale Ratcliff,104.74,Gold Customer
Josephine Gomez,104.75,Gold Customer
Dolores Wagner,104.75,Gold Customer
Violet Rodriquez,104.76,Gold Customer
Brent Harkins,104.78,Gold Customer
Carl Artis,104.79,Gold Customer
Cynthia Young,105.70,Gold Customer
Marcus Hidalgo,105.72,Gold Customer
Diana Alexander,105.73,Gold Customer
Amanda Carter,105.74,Gold Customer
Earl Shanks,105.74,Gold Customer
Jean Bell,105.76,Gold Customer
Bryan Hardison,105.76,Gold Customer
Shelly Watts,105.77,Gold Customer
Katie Elliott,105.77,Gold Customer
Eric Robert,105.78,Gold Customer
Sam Mcduffie,105.78,Gold Customer
Elaine Stevens,105.78,Gold Customer
Hazel Warren,106.68,Gold Customer
Julie Sanchez,106.72,Gold Customer
Bill Gavin,106.73,Gold Customer
Erin Dunn,106.73,Gold Customer
Sarah Lewis,106.73,Gold Customer
Dean Sauer,106.74,Gold Customer
Victoria Gibson,106.74,Gold Customer
Claudia Fuller,106.75,Gold Customer
Gail Knight,106.76,Gold Customer
Douglas Graf,106.77,Gold Customer
Marlene Welch,106.77,Gold Customer
Dan Paine,106.79,Gold Customer
Lois Butler,107.66,Gold Customer
Jeff East,107.70,Gold Customer
Maxine Silva,107.70,Gold Customer
Darlene Rose,107.71,Gold Customer
Lucille Holmes,107.73,Gold Customer
Mario Cheatham,107.73,Gold Customer
Marion Ocampo,107.73,Gold Customer
Stephen Qualls,107.74,Gold Customer
Jesus Mccartney,107.77,Gold Customer
Johnnie Chisholm,107.78,Gold Customer
Mae Fletcher,107.79,Gold Customer
Sally Pierce,108.71,Gold Customer
Minnie Romero,108.72,Gold Customer
Julian Vest,108.73,Gold Customer
Gabriel Harder,108.75,Gold Customer
Raymond Mcwhorter,108.75,Gold Customer
Seth Hannon,108.76,Gold Customer
Olga Jimenez,108.76,Gold Customer
Eduardo Hiatt,108.77,Gold Customer
Sonia Gregory,108.78,Gold Customer
Kyle Spurlock,109.71,Gold Customer
Todd Tan,109.72,Gold Customer
Theodore Culp,109.72,Gold Customer
Herman Devore,109.72,Gold Customer
Ted Breaux,109.73,Gold Customer
Randy Gaither,109.73,Gold Customer
Clifford Bowens,109.73,Gold Customer
Sandra Martin,109.75,Gold Customer
Charlene Alvarez,109.75,Gold Customer
Isaac Oglesby,109.76,Gold Customer
Beatrice Arnold,109.77,Gold Customer
Fernando Churchill,109.77,Gold Customer
Heidi Larson,110.68,Gold Customer
Terrence Gunderson,110.71,Gold Customer
Everett Banda,110.72,Gold Customer
Ruby Washington,110.72,Gold Customer
Michele Grant,110.73,Gold Customer
Gina Williamson,110.73,Gold Customer
Andre Rapp,110.74,Gold Customer
Charlie Bess,110.76,Gold Customer
Myrtle Fleming,110.76,Gold Customer
Jamie Waugh,110.77,Gold Customer
Carolyn Perez,111.71,Gold Customer
Holly Fox,111.71,Gold Customer
Terrance Roush,111.71,Gold Customer
Audrey Ray,111.73,Gold Customer
Cindy Fisher,111.73,Gold Customer
Daryl Larue,111.73,Gold Customer
Clifton Malcolm,111.74,Gold Customer
Arlene Harvey,111.76,Gold Customer
Jerry Jordon,111.76,Gold Customer
Calvin Martel,111.77,Gold Customer
Clyde Tobias,112.72,Gold Customer
Monica Hicks,112.73,Gold Customer
Amy Lopez,112.74,Gold Customer
Ashley Richardson,112.75,Gold Customer
Andy Vanhorn,112.76,Gold Customer
Tyrone Asher,112.76,Gold Customer
Christy Vargas,113.70,Gold Customer
George Linton,113.71,Gold Customer
Jeffery Pinson,113.72,Gold Customer
Amber Dixon,113.73,Gold Customer
Dave Gardiner,113.73,Gold Customer
Michael Silverman,113.74,Gold Customer
Nora Herrera,113.74,Gold Customer
Christopher Greco,113.75,Gold Customer
Don Bone,113.77,Gold Customer
Mary Smith,114.70,Gold Customer
Florence Woods,114.72,Gold Customer
Craig Morrell,114.72,Gold Customer
Salvador Teel,114.73,Gold Customer
Patsy Davidson,114.73,Gold Customer
Teresa Rogers,114.74,Gold Customer
Dianne Shelton,114.76,Gold Customer
Veronica Stone,115.70,Gold Customer
Philip Causey,115.71,Gold Customer
Erik Guillen,115.72,Gold Customer
Cecil Vines,115.74,Gold Customer
Gloria Cook,115.74,Gold Customer
Gerald Fultz,116.71,Gold Customer
Kathy James,116.72,Gold Customer
Naomi Jennings,116.73,Gold Customer
Hilda Hopkins,116.73,Gold Customer
Terry Carlson,116.74,Gold Customer
Valerie Black,116.75,Gold Customer
Joyce Edwards,116.76,Gold Customer
Byron Box,117.72,Gold Customer
Lee Hawks,117.75,Gold Customer
Nathaniel Adam,117.75,Gold Customer
Perry Swafford,117.76,Gold Customer
Marshall Thorn,117.77,Gold Customer
Miriam Mckinney,117.77,Gold Customer
Joy George,118.69,Gold Customer
Virginia Green,118.70,Gold Customer
Marjorie Tucker,118.70,Gold Customer
Jaime Nettles,118.73,Gold Customer
Stephanie Mitchell,118.75,Gold Customer
Tracy Herrmann,118.75,Gold Customer
Kathryn Coleman,118.76,Gold Customer
Charles Kowalski,119.72,Gold Customer
Gertrude Castillo,119.72,Gold Customer
Hector Poindexter,119.74,Gold Customer
Alan Kahn,119.75,Gold Customer
Cheryl Murphy,119.76,Gold Customer
Thelma Murray,120.70,Gold Customer
Marc Outlaw,120.71,Gold Customer
Alfred Casillas,120.74,Gold Customer
Dana Hart,120.74,Gold Customer
Rick Mattox,120.75,Gold Customer
Nathan Runyon,121.69,Gold Customer
Jim Rea,121.70,Gold Customer
Barry Lovelace,121.70,Gold Customer
Lynn Payne,121.73,Gold Customer
Gilbert Sledge,121.73,Gold Customer
Milton Howland,121.77,Gold Customer
Jorge Olivares,122.69,Gold Customer
Viola Hanson,122.70,Gold Customer
Cathy Spencer,122.71,Gold Customer
Javier Elrod,122.72,Gold Customer
Eddie Tomlin,122.74,Gold Customer
Tina Simmons,122.74,Gold Customer
Melissa King,123.66,Gold Customer
Shirley Allen,123.70,Gold Customer
Alice Stewart,123.70,Gold Customer
Billy Poulin,123.71,Gold Customer
Leslie Seward,123.72,Gold Customer
John Farnsworth,123.74,Gold Customer
Patricia Johnson,123.74,Gold Customer
Carrie Porter,124.66,Gold Customer
Elsie Kelley,124.68,Gold Customer
Julia Flores,124.71,Gold Customer
Janet Phillips,124.74,Gold Customer
Justin Ngo,125.67,Gold Customer
Joanne Robertson,125.68,Gold Customer
Daisy Bates,125.72,Gold Customer
Bradley Motley,125.74,Gold Customer
Maurice Crawley,125.74,Gold Customer
Grace Ellis,126.70,Gold Customer
Tracy Cole,126.72,Gold Customer
Troy Quigley,126.73,Gold Customer
Jamie Rice,126.73,Gold Customer
Terri Vasquez,126.73,Gold Customer
Jeanne Lawson,126.74,Gold Customer
Martha Gonzalez,127.66,Gold Customer
Mitchell Westmoreland,127.69,Gold Customer
Debbie Reyes,127.69,Gold Customer
Bessie Morrison,127.73,Gold Customer
Miguel Betancourt,127.73,Gold Customer
Alma Austin,128.69,Gold Customer
Sara Perry,128.70,Gold Customer
Gladys Hamilton,128.71,Gold Customer
Glenda Frazier,128.71,Gold Customer
Roberto Vu,128.73,Gold Customer
Regina Berry,129.68,Gold Customer
Crystal Ford,129.70,Gold Customer
Jordan Archuleta,129.71,Gold Customer
Rosa Reynolds,129.72,Gold Customer
Harold Martino,130.68,Gold Customer
Casey Mena,130.68,Gold Customer
Brett Cornwell,130.70,Gold Customer
Maria Miller,130.72,Gold Customer
Priscilla Lowe,130.72,Gold Customer
Linda Williams,130.76,Gold Customer
Catherine Campbell,131.69,Gold Customer
Ethel Webb,131.69,Gold Customer
Karen Jackson,131.73,Gold Customer
Greg Robins,131.74,Gold Customer
Russell Brinson,132.65,Gold Customer
Jessie Milam,132.70,Gold Customer
Jennie Terry,132.72,Gold Customer
Sue Peters,133.68,Gold Customer
Bernice Willis,133.70,Gold Customer
Stanley Scroggins,133.71,Gold Customer
Joe Gilliland,133.72,Gold Customer
Elizabeth Brown,134.65,Gold Customer
Helen Harris,134.68,Gold Customer
Rosemary Schmidt,134.69,Gold Customer
Sylvia Ortiz,134.70,Gold Customer
Ella Oliver,134.70,Gold Customer
Zachary Hite,134.71,Gold Customer
Alvin Deloach,134.72,Gold Customer
Kent Arsenault,134.73,Gold Customer
Morris Mccarter,135.68,Gold Customer
Ramon Choate,135.70,Gold Customer
Jimmie Eggleston,135.72,Gold Customer
Alexander Fennell,137.67,Gold Customer
Marilyn Ross,137.70,Gold Customer
Wanda Patterson,137.72,Gold Customer
Angela Hernandez,138.65,Gold Customer
Tanya Gilbert,138.69,Gold Customer
Janice Ward,139.67,Gold Customer
Sherry Marshall,139.69,Gold Customer
Harry Arce,139.69,Gold Customer
Roy Whiting,139.72,Gold Customer
Nicholas Barfield,140.69,Gold Customer
Lori Wood,141.69,Gold Customer
Debra Nelson,141.71,Gold Customer
Marsha Douglas,142.66,Gold Customer
Margie Wade,142.67,Gold Customer
Shawn Heaton,142.69,Gold Customer
Ryan Salisbury,142.70,Gold Customer
Alex Gresham,143.68,Gold Customer
Duane Tubbs,143.70,Gold Customer
Roger Quintanilla,144.66,Gold Customer
Ralph Madrigal,144.68,Gold Customer
Diane Collins,144.70,Gold Customer
Brandon Huey,145.64,Gold Customer
Arthur Simpkins,145.70,Gold Customer
Stacey Montgomery,146.67,Gold Customer
Jessica Hall,146.68,Gold Customer
Michelle Clark,146.68,Gold Customer
Jacqueline Long,146.68,Gold Customer
Tonya Chapman,147.71,Gold Customer
Tammy Sanders,149.61,Gold Customer
Neil Renner,149.69,Gold Customer
June Carroll,151.68,Platinum Customer
Guy Brownlee,151.69,Platinum Customer
Brittany Riley,151.73,Platinum Customer
Steve Mackenzie,152.68,Platinum Customer
Warren Sherrod,152.69,Platinum Customer
Tim Cary,154.66,Platinum Customer
Lena Jensen,154.70,Platinum Customer
Louis Leone,156.66,Platinum Customer
Gordon Allard,157.69,Platinum Customer
Wesley Bull,158.65,Platinum Customer
Arnold Havens,161.68,Platinum Customer
Mike Way,162.67,Platinum Customer
Marcia Dean,166.61,Platinum Customer
Curtis Irby,167.62,Platinum Customer
Ana Bradley,167.67,Platinum Customer
Tommy Collazo,183.63,Platinum Customer
Clara Shaw,189.60,Platinum Customer
Rhonda Kennedy,191.62,Platinum Customer
Marion Snyder,194.61,Platinum Customer
Karl Seal,208.58,Platinum Customer
Eleanor Hunt,211.55,Platinum Customer
